mesh_code,ward_code,ward_ja,lat,lon,night_pop,day_pop,day_resident,inflow_work,inflow_school
5339358334,13112,世田谷区,35.65729166666667,139.6671875,859,589,204,385,0
5339358341,13112,世田谷区,35.65520833333334,139.6703125,972,458,302,156,0
5339358342,13112,世田谷区,35.65520833333334,139.6734375,930,429,272,157,0
5339358343,13112,世田谷区,35.65729166666667,139.6703125,873,464,309,155,0
5339358344,13112,世田谷区,35.65729166666667,139.6734375,759,426,269,157,0
5339358411,13112,世田谷区,35.65104166666667,139.67656250000002,1522,758,436,322,0
5339358412,13112,世田谷区,35.65104166666667,139.67968750000003,1233,683,361,322,0
5339358413,13112,世田谷区,35.653125,139.67656250000002,1663,865,544,321,0
5339358414,13112,世田谷区,35.653125,139.67968750000003,1341,739,417,322,0
5339358421,13112,世田谷区,35.65104166666667,139.6828125,690,2191,147,1782,262
5339358422,13110,目黒区,35.65104166666667,139.68593750000002,1189,2328,284,1781,263
5339358423,13112,世田谷区,35.653125,139.6828125,501,2200,157,1781,262
5339358424,13110,目黒区,35.653125,139.68593750000002,870,2282,237,1782,263
5339358431,13112,世田谷区,35.65520833333334,139.67656250000002,1410,1211,417,225,569
5339358432,13112,世田谷区,35.65520833333334,139.67968750000003,1197,1155,362,224,569
5339358433,13112,世田谷区,35.65729166666667,139.67656250000002,934,1088,296,223,569
5339358434,13110,目黒区,35.65729166666667,139.67968750000003,463,955,162,225,568
5339358441,13110,目黒区,35.65520833333334,139.6828125,1451,1886,694,348,844
5339358442,13110,目黒区,35.65520833333334,139.68593750000002,523,1354,164,347,843
5339358443,13110,目黒区,35.65729166666667,139.6828125,961,1487,297,347,843
5339358444,13110,目黒区,35.65729166666667,139.68593750000002,928,1430,240,348,842
5339358511,13110,目黒区,35.65104166666667,139.6890625,2003,2407,497,1687,223
5339358512,13110,目黒区,35.65104166666667,139.69218750000002,781,2148,238,1688,222
5339358513,13110,目黒区,35.653125,139.6890625,951,2176,267,1687,222
5339358514,13110,目黒区,35.653125,139.69218750000002,817,2117,208,1688,221
5339358521,13110,目黒区,35.65104166666667,139.6953125,179,1513,64,1278,171
5339358522,13113,渋谷区,35.65104166666667,139.6984375,489,1596,148,1278,170
5339358523,13113,渋谷区,35.653125,139.6953125,543,1657,210,1277,170
5339358524,13113,渋谷区,35.653125,139.6984375,913,1787,338,1278,171
5339358531,13110,目黒区,35.65520833333334,139.6890625,1395,1869,401,1264,204
5339358532,13113,渋谷区,35.65520833333334,139.69218750000002,1366,1785,317,1264,204
5339358533,13110,目黒区,35.65729166666667,139.6890625,1222,1830,363,1263,204
5339358534,13113,渋谷区,35.65729166666667,139.69218750000002,1074,1816,350,1263,203
5339358541,13113,渋谷区,35.65520833333334,139.6953125,749,13997,223,13561,213
5339358542,13113,渋谷区,35.65520833333334,139.6984375,640,13960,186,13561,213
5339358543,13113,渋谷区,35.65729166666667,139.6953125,512,13863,92,13560,211
5339358544,13113,渋谷区,35.65729166666667,139.6984375,37,13791,18,13560,213
5339358611,13113,渋谷区,35.65104166666667,139.7015625,952,2267,306,1591,370
5339358612,13113,渋谷区,35.65104166666667,139.7046875,688,2177,215,1592,370
5339358613,13113,渋谷区,35.653125,139.7015625,1128,2324,363,1590,371
5339358614,13113,渋谷区,35.653125,139.7046875,627,2144,183,1591,370
5339358621,13113,渋谷区,35.65104166666667,139.7078125,1003,2269,247,1736,286
5339358622,13113,渋谷区,35.65104166666667,139.7109375,767,2232,211,1735,286
5339358623,13113,渋谷区,35.653125,139.7078125,977,2379,359,1735,285
5339358624,13113,渋谷区,35.653125,139.7109375,956,2307,285,1736,286
5339358631,13113,渋谷区,35.65520833333334,139.7015625,412,9566,108,8890,568
5339358632,13113,渋谷区,35.65520833333334,139.7046875,401,9548,90,8890,568
5339358633,13113,渋谷区,35.65729166666667,139.7015625,34,9472,14,8890,568
5339358634,13113,渋谷区,35.65729166666667,139.7046875,274,9492,34,8890,568
5339358641,13113,渋谷区,35.65520833333334,139.7078125,788,6160,224,3480,2456
5339358642,13113,渋谷区,35.65520833333334,139.7109375,216,5999,62,3481,2456
