mesh_code,ward_ja,lat,lon,pop_total,hh_general,hh_single,hh_single_20s,hh_elderly_single,hh_with_under6,hh_in_housing,hh_owned,hh_private_rent,hh_public_rent,hh_detached,hh_apartment,hh_apt_15plus_bldg
5339562344,足立区,35.77395833333333,139.7984375,1416,799,443.0,99.0,80.0,54.0,796.0,320.0,379.0,0.0,165.0,627.0,64.0
5339562411,足立区,35.76770833333333,139.80156250000002,1357,705,373.0,68.0,94.0,55.0,702.0,395.0,292.0,0.0,312.0,385.0,0.0
5339562412,足立区,35.76770833333333,139.80468750000003,1421,786,452.0,108.0,103.0,27.0,785.0,422.0,345.0,0.0,133.0,650.0,0.0
5339562413,足立区,35.76979166666666,139.80156250000002,1994,956,374.0,59.0,110.0,46.0,954.0,676.0,248.0,0.0,87.0,865.0,106.0
5339562414,足立区,35.76979166666666,139.80468750000003,580,341,221.0,76.0,24.0,17.0,341.0,100.0,223.0,0.0,84.0,257.0,0.0
5339562421,足立区,35.76770833333333,139.8078125,937,566,336.0,48.0,94.0,15.0,562.0,295.0,251.0,0.0,105.0,454.0,0.0
5339562422,足立区,35.76770833333333,139.81093750000002,1215,671,355.0,66.0,105.0,25.0,667.0,124.0,340.0,180.0,123.0,543.0,0.0
5339562423,足立区,35.76979166666666,139.8078125,1772,837,345.0,78.0,122.0,49.0,836.0,392.0,207.0,200.0,142.0,694.0,0.0
5339562424,足立区,35.76979166666666,139.81093750000002,1193,735,476.0,101.0,113.0,35.0,735.0,145.0,484.0,82.0,112.0,620.0,0.0
5339562431,足立区,35.771875,139.80156250000002,1274,780,529.0,163.0,105.0,34.0,774.0,232.0,466.0,25.0,193.0,567.0,0.0
5339562432,足立区,35.771875,139.80468750000003,1226,572,246.0,26.0,98.0,43.0,571.0,223.0,134.0,202.0,37.0,530.0,0.0
5339562433,足立区,35.77395833333333,139.80156250000002,1033,529,282.0,84.0,50.0,41.0,527.0,266.0,217.0,0.0,195.0,332.0,0.0
5339562434,足立区,35.77395833333333,139.80468750000003,747,369,165.0,20.0,42.0,20.0,361.0,273.0,78.0,0.0,52.0,308.0,0.0
5339562441,足立区,35.771875,139.8078125,1593,776,305.0,29.0,98.0,56.0,772.0,468.0,287.0,0.0,90.0,677.0,0.0
5339562442,足立区,35.771875,139.81093750000002,1476,706,296.0,67.0,82.0,45.0,674.0,400.0,246.0,0.0,126.0,541.0,0.0
5339562443,足立区,35.77395833333333,139.8078125,966,502,263.0,25.0,100.0,25.0,494.0,248.0,158.0,66.0,145.0,348.0,0.0
5339562444,足立区,35.77395833333333,139.81093750000002,1113,669,413.0,59.0,148.0,18.0,615.0,166.0,175.0,265.0,153.0,462.0,0.0
5339562511,足立区,35.76770833333333,139.8140625,1048,585,318.0,110.0,66.0,49.0,519.0,115.0,192.0,166.0,107.0,412.0,0.0
5339562512,足立区,35.76770833333333,139.81718750000002,1327,757,434.0,124.0,134.0,25.0,659.0,206.0,158.0,273.0,97.0,560.0,0.0
5339562513,足立区,35.76979166666666,139.8140625,1144,649,375.0,101.0,56.0,39.0,624.0,229.0,341.0,19.0,162.0,459.0,0.0
5339562514,足立区,35.76979166666666,139.81718750000002,1670,899,450.0,76.0,145.0,38.0,880.0,476.0,294.0,63.0,120.0,753.0,0.0
5339562521,足立区,35.76770833333333,139.8203125,516,273,151.0,14.0,65.0,19.0,273.0,50.0,78.0,143.0,41.0,232.0,0.0
5339562522,足立区,35.76770833333333,139.8234375,883,533,330.0,94.0,47.0,14.0,531.0,135.0,361.0,0.0,110.0,421.0,0.0
5339562523,足立区,35.76979166666666,139.8203125,756,405,218.0,46.0,51.0,23.0,402.0,182.0,163.0,43.0,138.0,261.0,0.0
5339562524,足立区,35.76979166666666,139.8234375,1095,584,312.0,55.0,45.0,32.0,584.0,250.0,309.0,11.0,144.0,439.0,0.0
5339562531,足立区,35.771875,139.8140625,949,568,347.0,72.0,67.0,24.0,568.0,191.0,358.0,0.0,194.0,368.0,0.0
5339562532,足立区,35.771875,139.81718750000002,1152,619,328.0,68.0,77.0,29.0,613.0,253.0,293.0,47.0,257.0,353.0,0.0
