mesh_code,est_all,emp_all,est_manufacturing,emp_manufacturing,est_ict,emp_ict,est_wholesale_retail,emp_wholesale_retail,est_finance,emp_finance,est_real_estate,emp_real_estate,est_professional,emp_professional,est_accommodation_food,emp_accommodation_food,est_medical_welfare,emp_medical_welfare,lat,lon,ward_code,ward_ja
533955303,78,730,8,97,1,2,13,121,0,0,10,62,6,12,9,66,10,245,35.78125,139.628125,13119,板橋区
533955304,90,648,3,23,2,4,13,58,2,4,17,52,2,25,7,42,14,240,35.78125,139.634375,13119,板橋区
533955311,101,529,3,5,0,0,13,66,1,5,18,57,7,39,16,45,7,92,35.77708333333333,139.640625,13119,板橋区
533955312,95,710,5,17,0,0,11,69,2,31,16,40,6,29,7,37,12,321,35.77708333333333,139.646875,13119,板橋区
533955313,52,348,5,20,2,3,11,187,1,2,6,17,2,3,0,0,4,33,35.78125,139.640625,13119,板橋区
533955314,68,499,2,15,1,1,12,71,0,0,9,45,1,6,6,28,4,74,35.78125,139.646875,13119,板橋区
533955321,81,515,9,66,2,16,11,81,1,13,6,13,2,6,1,3,5,58,35.77708333333333,139.65312500000002,13119,板橋区
533955322,99,763,5,13,3,9,17,108,0,0,6,40,10,21,1,2,13,364,35.77708333333333,139.659375,13119,板橋区
533955323,87,1006,7,30,0,0,19,192,0,0,15,48,2,4,6,157,11,404,35.78125,139.65312500000002,13119,板橋区
533955324,73,598,1,1,2,3,14,83,0,0,11,28,0,0,2,25,7,122,35.78125,139.659375,13119,板橋区
533955331,99,1100,9,43,2,5,15,84,0,0,11,41,1,11,7,56,10,150,35.77708333333333,139.665625,13119,板橋区
533955332,84,629,7,74,1,1,10,20,0,0,19,38,3,6,2,7,8,132,35.77708333333333,139.671875,13119,板橋区
533955333,138,1450,13,97,1,4,40,455,0,0,9,47,0,0,12,257,12,141,35.78125,139.665625,13119,板橋区
533955334,112,1738,6,20,2,4,24,245,0,0,13,44,4,8,12,158,11,186,35.78125,139.671875,13119,板橋区
533955341,100,1115,10,49,4,5,16,217,2,7,7,29,7,11,11,105,10,254,35.77708333333333,139.67812500000002,13119,板橋区
533955342,152,1895,4,11,3,6,33,568,2,13,15,29,4,6,30,218,22,167,35.77708333333333,139.68437500000002,13119,板橋区
533955343,191,1251,11,75,0,0,42,180,1,10,17,47,11,27,23,124,25,389,35.78125,139.67812500000002,13119,板橋区
533955344,107,2366,11,163,2,14,26,456,0,0,11,39,2,3,9,42,17,373,35.78125,139.68437500000002,13119,板橋区
